gpr_mean,true_y,gpr_lwr,gpr_upr,cf,cf_lwr,cf_upr,month,unit,exile
1.910632090461002,0.75187969924812,0.7699870343156101,3.0512771466063935,1.910632090461002,0.7699870343156101,3.0512771466063935,2013-02-01,id:twitter.com:101624479,0
1.918964816129442,5.76923076923077,0.8253830578332366,3.012546574425647,1.918964816129442,0.8253830578332366,3.012546574425647,2013-03-01,id:twitter.com:101624479,0
1.934013684362395,1.04166666666667,0.8879510141119757,2.980076354612814,1.934013684362395,0.8879510141119757,2.980076354612814,2013-04-01,id:twitter.com:101624479,0
1.908563563230999,3.79310344827586,0.8954286823258519,2.9216984441361458,1.908563563230999,0.8954286823258519,2.9216984441361458,2013-05-01,id:twitter.com:101624479,0
1.862611039108073,2.0997375328084,0.878081191769765,2.847140886446381,1.862611039108073,0.878081191769765,2.847140886446381,2013-06-01,id:twitter.com:101624479,0
1.8462383499972772,1.81818181818182,0.8787655164605506,2.8137111835340036,1.8462383499972772,0.8787655164605506,2.8137111835340036,2013-07-01,id:twitter.com:101624479,0
1.7700577259281345,5.40540540540541,0.8163800633145856,2.7237353885416833,1.7700577259281345,0.8163800633145856,2.7237353885416833,2013-08-01,id:twitter.com:101624479,0
1.776684456276449,2.92207792207792,0.8394576954876226,2.7139112170652755,1.776684456276449,0.8394576954876226,2.7139112170652755,2013-09-01,id:twitter.com:101624479,0
1.737811099568872,2.27272727272727,0.8088526654687491,2.6667695336689947,1.737811099568872,0.8088526654687491,2.6667695336689947,2013-10-01,id:twitter.com:101624479,0
1.585630170114454,4.67289719626168,0.6597171766014113,2.5115431636274965,1.585630170114454,0.6597171766014113,2.5115431636274965,2013-11-01,id:twitter.com:101624479,0
1.6571348927056437,3.86100386100386,0.7395715312122854,2.574698254199002,1.6571348927056437,0.7395715312122854,2.574698254199002,2013-12-01,id:twitter.com:101624479,0
1.5791561280566497,2.46913580246914,0.667185613942759,2.4911266421705403,1.5791561280566497,0.667185613942759,2.4911266421705403,2013-01-01,id:twitter.com:101624479,0
1.3776437163372757,1.20481927710843,0.4589228280426717,2.2963646046318797,1.3776437163372757,0.4589228280426717,2.2963646046318797,2014-02-01,id:twitter.com:101624479,0
1.4863960509900036,13.4146341463415,0.5782384442605766,2.3945536577194306,1.4863960509900036,0.5782384442605766,2.3945536577194306,2014-03-01,id:twitter.com:101624479,0
1.4455265405380968,8.57142857142857,0.5375527580227146,2.353500323053479,1.4455265405380968,0.5375527580227146,2.353500323053479,2014-04-01,id:twitter.com:101624479,0
1.2528184250587224,2.24719101123596,0.34107954768284643,2.1645573024345985,1.2528184250587224,0.34107954768284643,2.1645573024345985,2014-05-01,id:twitter.com:101624479,0
1.2276437399243467,6.18556701030928,0.31867677070978173,2.1366107091389117,1.2276437399243467,0.31867677070978173,2.1366107091389117,2014-06-01,id:twitter.com:101624479,0
1.1448188019980094,2.29885057471264,0.23449909106461264,2.055138512931406,1.1448188019980094,0.23449909106461264,2.055138512931406,2014-07-01,id:twitter.com:101624479,0
1.2057666661814501,3.67647058823529,0.2996049237667602,2.11192840859614,1.2057666661814501,0.2996049237667602,2.11192840859614,2014-08-01,id:twitter.com:101624479,0
1.2146598570294591,1.2987012987013,0.295770543624152,2.133549170434766,1.2146598570294591,0.295770543624152,2.133549170434766,2014-09-01,id:twitter.com:101624479,0
1.1411026632631012,1.16959064327485,0.23061098093991406,2.051594345586288,1.1411026632631012,0.23061098093991406,2.051594345586288,2014-10-01,id:twitter.com:101624479,0
0.9935862338315015,2.9126213592233,0.0880194215874579,1.899153046075545,0.9935862338315015,0.0880194215874579,1.899153046075545,2014-11-01,id:twitter.com:101624479,0
1.0524944937700123,2.71739130434783,0.1382860497970183,1.966702937743006,1.0524944937700123,0.1382860497970183,1.966702937743006,2014-12-01,id:twitter.com:101624479,0
1.0207855977837437,1.32743362831858,0.09774527953442669,1.9438259160330607,1.0207855977837437,0.09774527953442669,1.9438259160330607,2014-01-01,id:twitter.com:101624479,0
0.956526526838324,1.26903553299492,-0.0004106221976351021,1.913463675874283,0.956526526838324,-0.0004106221976351021,1.913463675874283,2015-02-01,id:twitter.com:101624479,0
