gpr_mean,true_y,gpr_lwr,gpr_upr,cf,cf_lwr,cf_upr,month,unit,exile
8.069300715726879,16.5413533834586,6.264990811794272,9.873610619659486,8.069300715726879,6.264990811794272,9.873610619659486,2013-02-01,id:twitter.com:101624479,0
8.438687479769886,17.9487179487179,6.736702462508138,10.140672497031634,8.438687479769886,6.736702462508138,10.140672497031634,2013-03-01,id:twitter.com:101624479,0
9.135682295200441,10.4166666666667,7.5072117155432405,10.764152874857642,9.135682295200441,7.5072117155432405,10.764152874857642,2013-04-01,id:twitter.com:101624479,0
9.358135905829323,15.8620689655172,7.814163329587097,10.902108482071549,9.358135905829323,7.814163329587097,10.902108482071549,2013-05-01,id:twitter.com:101624479,0
9.749075785882301,12.3359580052493,8.264165632487803,11.2339859392768,9.749075785882301,8.264165632487803,11.2339859392768,2013-06-01,id:twitter.com:101624479,0
9.563252136516411,10.9090909090909,8.165309237874819,10.961195035158003,9.563252136516411,8.165309237874819,10.961195035158003,2013-07-01,id:twitter.com:101624479,0
9.437700280551878,19.5945945945946,8.098806183523774,10.776594377579983,9.437700280551878,8.098806183523774,10.776594377579983,2013-08-01,id:twitter.com:101624479,0
10.179741384961726,13.6363636363636,8.866415718695231,11.493067051228222,10.179741384961726,8.866415718695231,11.493067051228222,2013-09-01,id:twitter.com:101624479,0
10.353840597514342,11.3636363636364,9.075035409032505,11.632645785996178,10.353840597514342,9.075035409032505,11.632645785996178,2013-10-01,id:twitter.com:101624479,0
9.685381986147672,9.34579439252336,8.448066822446075,10.922697149849268,9.685381986147672,8.448066822446075,10.922697149849268,2013-11-01,id:twitter.com:101624479,0
10.55808215677709,15.0579150579151,9.329219880905438,11.786944432648742,10.55808215677709,9.329219880905438,11.786944432648742,2013-12-01,id:twitter.com:101624479,0
10.349113640178174,9.87654320987654,9.139012363386065,11.559214916970284,10.349113640178174,9.139012363386065,11.559214916970284,2013-01-01,id:twitter.com:101624479,0
9.926763382972808,4.81927710843374,8.73539957465768,11.118127191287936,9.926763382972808,8.73539957465768,11.118127191287936,2014-02-01,id:twitter.com:101624479,0
10.652695293233045,26.219512195122,9.460551034384224,11.844839552081865,10.652695293233045,9.460551034384224,11.844839552081865,2014-03-01,id:twitter.com:101624479,0
10.84637095662195,18.8571428571429,9.660167603380424,12.032574309863476,10.84637095662195,9.660167603380424,12.032574309863476,2014-04-01,id:twitter.com:101624479,0
10.412608823512898,8.98876404494382,9.24086509121977,11.584352555806024,10.412608823512898,9.24086509121977,11.584352555806024,2014-05-01,id:twitter.com:101624479,0
10.625099009258792,10.3092783505155,9.457403600095645,11.792794418421938,10.625099009258792,9.457403600095645,11.792794418421938,2014-06-01,id:twitter.com:101624479,0
10.666605352278292,10.3448275862069,9.506416958650993,11.826793745905592,10.666605352278292,9.506416958650993,11.826793745905592,2014-07-01,id:twitter.com:101624479,0
11.188956907700348,7.35294117647059,10.027632891671512,12.350280923729184,11.188956907700348,10.027632891671512,12.350280923729184,2014-08-01,id:twitter.com:101624479,0
11.751216116809248,9.52380952380952,10.59525052487699,12.907181708741506,11.751216116809248,10.59525052487699,12.907181708741506,2014-09-01,id:twitter.com:101624479,0
11.65810187234862,6.4327485380117,10.508425194236988,12.807778550460252,11.65810187234862,10.508425194236988,12.807778550460252,2014-10-01,id:twitter.com:101624479,0
11.376969488495945,11.6504854368932,10.239431858027631,12.514507118964259,11.376969488495945,10.239431858027631,12.514507118964259,2014-11-01,id:twitter.com:101624479,0
12.011974588148105,4.89130434782609,10.876574836855196,13.147374339441013,12.011974588148105,10.876574836855196,13.147374339441013,2014-12-01,id:twitter.com:101624479,0
12.327156107874664,12.3893805309735,11.199395401344717,13.454916814404612,12.327156107874664,11.199395401344717,13.454916814404612,2014-01-01,id:twitter.com:101624479,0
12.875327743239133,11.4213197969543,11.75423074330725,13.996424743171016,12.875327743239133,11.75423074330725,13.996424743171016,2015-02-01,id:twitter.com:101624479,0
13.10487246467319,15.668202764977,11.986083645292222,14.223661284054156,13.10487246467319,11.986083645292222,14.223661284054156,2015-03-01,id:twitter.com:101624479,0
12.670038717977988,11.5384615384615,11.559793449343964,13.780283986612012,12.670038717977988,11.559793449343964,13.780283986612012,2015-04-01,id:twitter.com:101624479,0
12.587732618173408,15.2671755725191,11.482194049114163,13.693271187232654,12.587732618173408,11.482194049114163,13.693271187232654,2015-05-01,id:twitter.com:101624479,0
13.259946243317012,18.9873417721519,12.157754727577732,14.362137759056292,13.259946243317012,12.157754727577732,14.362137759056292,2015-06-01,id:twitter.com:101624479,0
13.140282456413079,3.84615384615385,12.040202371222017,14.24036254160414,13.140282456413079,12.040202371222017,14.24036254160414,2015-07-01,id:twitter.com:101624479,0
12.77676482645857,5.06329113924051,11.673553860519215,13.879975792397923,12.77676482645857,11.673553860519215,13.879975792397923,2015-08-01,id:twitter.com:101624479,0
13.587839337949795,10.9677419354839,12.489635075355718,14.686043600543872,13.587839337949795,12.489635075355718,14.686043600543872,2015-09-01,id:twitter.com:101624479,0
13.742387697643316,14.3884892086331,12.643122248652219,14.841653146634414,13.742387697643316,12.643122248652219,14.841653146634414,2015-10-01,id:twitter.com:101624479,0
14.151552151137995,4.79041916167665,13.052712944857157,15.250391357418833,14.151552151137995,13.052712944857157,15.250391357418833,2015-11-01,id:twitter.com:101624479,0
14.546324637397849,7.17948717948718,13.446974824955447,15.64567444984025,14.546324637397849,13.446974824955447,15.64567444984025,2015-12-01,id:twitter.com:101624479,0
