tfe_mean,tfe_lwr,tfe_upr
5.613,5.001,6.226
5.363,4.743,5.983
1.582,0.938,2.227
1.983,1.346,2.62
1.778,1.145,2.411
1.512,0.885,2.14
1.925,1.295,2.554
1.575,0.95,2.2
1.931,1.306,2.556
2.545,1.918,3.172
2.256,1.631,2.882
1.04,0.42,1.661
1.291,0.672,1.911
0.902,0.285,1.519
0.889,0.271,1.506
1.177,0.552,1.802
0.75,0.128,1.372
0.82,0.198,1.442
1.394,0.765,2.022
1.648,1.02,2.277
3.023,2.402,3.644
3.398,2.779,4.017
3.222,2.603,3.841
2.958,2.341,3.575
3.422,2.801,4.044
3.029,2.415,3.644
3.376,2.763,3.989
3.987,3.374,4.599
3.722,3.11,4.334
3.648,3.036,4.259
3.968,3.356,4.579
3.617,3.008,4.227
4.13,3.518,4.742
3.976,3.364,4.588
3.576,2.968,4.185
3.635,3.027,4.243
4.281,3.668,4.894
4.031,3.418,4.644
5.98,5.326,6.634
5.855,5.202,6.507
6.165,5.513,6.818
5.371,4.718,6.025
6.259,5.598,6.919
5.97,5.324,6.616
6.401,5.757,7.045
7.055,6.412,7.699
6.807,6.163,7.451
7.338,6.686,7.99
7.627,6.975,8.279
7.721,7.081,8.362
7.703,7.065,8.341
6.189,5.525,6.852
6.262,5.598,6.926
5.849,5.174,6.524
6.447,5.786,7.108
4.359,3.717,5.001
4.72,4.079,5.362
3.421,2.797,4.046
3.128,2.503,3.753
3.549,2.92,4.177
3.851,3.218,4.484
4.019,3.385,4.653
4.666,4.035,5.298
3.929,3.3,4.558
4.222,3.6,4.845
4.504,3.883,5.125
4.631,4.016,5.246
4.633,4.02,5.246
4.474,3.862,5.087
4.564,3.952,5.176
4.631,4.019,5.243
4.736,4.124,5.347
4.963,4.352,5.574
1.649,1.032,2.267
2.044,1.429,2.659
1.893,1.279,2.507
1.667,1.054,2.28
2.099,1.487,2.712
1.896,1.284,2.507
2.226,1.614,2.838
3.312,2.694,3.93
2.558,1.946,3.17
2.486,1.875,3.097
2.78,2.169,3.391
2.924,2.314,3.534
2.933,2.324,3.543
2.281,1.669,2.893
2.861,2.25,3.472
2.906,2.294,3.518
2.373,1.748,2.998
3.111,2.489,3.733
2.695,2.069,3.321
3.568,2.926,4.21
2.898,2.274,3.523
2.663,2.039,3.287
3.09,2.463,3.717
2.872,2.243,3.5
3.195,2.564,3.826
3.646,3.013,4.279
3.403,2.77,4.036
2.606,1.98,3.232
2.903,2.278,3.528
2.567,1.946,3.189
2.576,1.956,3.197
2.435,1.815,3.054
3.03,2.406,3.653
2.62,2.001,3.24
3.228,2.605,3.852
3.005,2.384,3.627
5.312,4.656,5.968
5.162,4.515,5.808
4.947,4.304,5.591
5.154,4.511,5.798
5.066,4.422,5.71
5.164,4.526,5.803
3.873,3.251,4.496
4.468,3.846,5.09
4.182,3.563,4.8
4.039,3.422,4.655
4.313,3.696,4.93
3.952,3.333,4.571
4.408,3.792,5.024
4.22,3.602,4.837
4.286,3.666,4.906
4.33,3.708,4.952
4.448,3.83,5.066
4.676,4.058,5.294
2.014,1.366,2.663
1.898,1.257,2.54
1.779,1.139,2.418
1.838,1.216,2.461
2.592,1.966,3.218
1.923,1.305,2.54
2.315,1.696,2.934
3.432,2.809,4.055
2.622,2.007,3.237
2.476,1.864,3.089
2.749,2.137,3.361
2.873,2.264,3.482
2.917,2.31,3.524
2.246,1.633,2.859
2.795,2.187,3.404
2.836,2.226,3.445
2.474,1.858,3.09
3.221,2.612,3.83
2.466,1.807,3.124
2.851,2.195,3.508
1.089,0.464,1.715
0.776,0.155,1.397
1.0,0.379,1.62
0.788,0.171,1.404
1.117,0.502,1.732
1.726,1.112,2.34
1.457,0.844,2.069
1.33,0.718,1.941
1.618,1.007,2.229
1.729,1.119,2.34
1.269,0.659,1.88
1.575,0.964,2.185
1.648,1.036,2.26
1.192,0.577,1.806
1.802,1.189,2.415
1.568,0.95,2.187
1.078,0.445,1.711
0.946,0.316,1.575
1.233,0.607,1.858
0.946,0.323,1.569
0.855,0.228,1.482
1.109,0.484,1.734
1.271,0.652,1.89
1.38,0.758,2.002
1.627,1.012,2.243
1.053,0.435,1.67
1.338,0.721,1.954
1.462,0.853,2.07
1.46,0.852,2.068
1.287,0.677,1.896
1.365,0.754,1.976
1.402,0.79,2.015
1.484,0.869,2.099
1.705,1.088,2.323
0.238,-0.434,0.909
0.1,-0.553,0.752
-0.101,-0.749,0.547
-0.363,-1.01,0.283
0.035,-0.603,0.672
-0.211,-0.842,0.42
0.077,-0.55,0.704
0.984,0.364,1.604
0.723,0.103,1.343
0.623,0.006,1.24
0.908,0.29,1.526
0.533,-0.086,1.152
0.497,-0.122,1.115
0.298,-0.323,0.919
0.339,-0.286,0.964
0.843,0.21,1.477
0.397,-0.242,1.035
1.082,0.435,1.728
-0.409,-1.041,0.224
-0.053,-0.68,0.575
-0.247,-0.87,0.376
-0.523,-1.142,0.095
-0.112,-0.727,0.502
-0.347,-0.959,0.266
-0.034,-0.646,0.578
0.55,-0.061,1.161
0.288,-0.323,0.899
0.194,-0.416,0.805
0.504,-0.107,1.116
0.145,-0.467,0.757
0.145,-0.467,0.758
-0.015,-0.629,0.599
0.062,-0.556,0.68
