tfe_mean,tfe_lwr,tfe_upr
4.725,4.105,5.345
4.794,4.174,5.414
4.91,4.289,5.531
5.151,4.529,5.772
1.206,0.562,1.851
1.074,0.45,1.698
0.937,0.317,1.557
0.709,0.093,1.326
1.286,0.67,1.902
1.034,0.423,1.646
1.346,0.735,1.958
1.949,1.339,2.559
1.69,1.079,2.3
1.657,1.047,2.267
1.971,1.36,2.581
2.129,1.515,2.743
1.64,1.032,2.248
1.479,0.869,2.088
1.568,0.956,2.179
1.635,1.023,2.248
1.798,1.181,2.414
1.892,1.258,2.526
2.648,2.026,3.27
2.991,2.368,3.614
2.812,2.189,3.434
2.551,1.929,3.172
3.032,2.418,3.646
2.834,2.222,3.447
3.172,2.559,3.784
3.803,3.192,4.413
3.571,2.961,4.182
3.551,2.94,4.162
3.873,3.261,4.486
3.532,2.924,4.141
3.536,2.93,4.143
3.434,2.823,4.045
3.524,2.912,4.136
3.571,2.959,4.182
3.662,3.05,4.275
3.902,3.288,4.517
5.686,4.992,6.379
6.153,5.46,6.846
5.88,5.188,6.572
4.846,4.173,5.518
5.99,5.313,6.667
5.221,4.548,5.894
5.115,4.439,5.791
6.041,5.357,6.725
5.179,4.505,5.853
5.911,5.236,6.587
5.771,5.095,6.446
5.873,5.199,6.547
5.924,5.251,6.596
5.566,4.89,6.243
5.844,5.164,6.524
2.916,2.256,3.576
3.637,3.003,4.27
3.493,2.865,4.122
3.307,2.687,3.927
3.765,3.148,4.381
3.579,2.965,4.193
3.927,3.315,4.54
5.046,4.423,5.67
4.321,3.71,4.932
4.252,3.642,4.862
4.59,3.98,5.2
4.318,3.707,4.929
4.335,3.725,4.945
4.183,3.571,4.795
5.679,5.009,6.349
4.873,4.252,5.493
5.022,4.396,5.649
4.757,4.13,5.384
5.951,5.013,6.888
5.793,4.856,6.73
6.02,5.077,6.962
5.968,5.032,6.904
5.787,4.851,6.723
6.157,5.22,7.094
7.325,6.383,8.266
4.959,4.234,5.683
5.04,4.327,5.752
4.502,3.799,5.204
4.615,3.916,5.313
4.854,4.153,5.554
4.784,4.08,5.487
4.57,3.875,5.266
4.22,3.521,4.918
4.549,3.852,5.246
6.213,5.493,6.934
6.307,5.588,7.026
4.997,4.306,5.688
5.076,4.383,5.77
5.316,4.622,6.01
3.258,2.636,3.88
3.656,3.038,4.274
3.481,2.865,4.097
3.208,2.594,3.821
4.121,3.5,4.742
3.417,2.804,4.03
3.751,3.137,4.366
4.358,3.743,4.972
4.122,3.508,4.736
4.07,3.457,4.683
4.392,3.778,5.005
4.552,3.941,5.163
4.565,3.954,5.176
4.408,3.795,5.02
4.357,3.735,4.98
4.427,3.805,5.049
4.05,3.424,4.676
4.807,4.184,5.43
3.542,2.821,4.263
3.882,3.159,4.605
4.963,4.234,5.691
4.237,3.515,4.959
4.179,3.46,4.897
3.138,2.429,3.848
2.819,2.108,3.53
2.84,2.131,3.549
3.174,2.466,3.882
3.277,2.568,3.986
3.335,2.627,4.042
2.945,2.234,3.656
3.67,2.96,4.379
3.553,2.815,4.291
3.953,3.215,4.691
3.727,2.988,4.466
3.471,2.732,4.209
3.891,3.151,4.63
5.042,4.279,5.805
4.031,3.292,4.771
4.998,4.245,5.751
6.101,5.313,6.89
5.24,4.491,5.988
5.363,4.613,6.114
5.63,4.876,6.385
3.274,2.635,3.914
3.707,3.074,4.339
3.531,2.897,4.165
3.266,2.631,3.901
3.722,3.091,4.353
3.514,2.882,4.145
3.87,3.242,4.499
5.871,5.227,6.515
5.664,5.021,6.306
5.573,4.932,6.215
5.956,5.308,6.603
6.166,5.435,6.896
4.708,4.043,5.372
4.474,3.812,5.136
6.076,5.431,6.722
4.745,4.126,5.363
4.825,4.208,5.442
5.059,4.442,5.676
6.349,5.411,7.287
6.765,5.828,7.701
6.686,5.749,7.623
6.393,5.457,7.328
6.768,5.832,7.704
6.59,5.654,7.525
7.45,6.506,8.393
2.554,1.549,3.559
2.367,1.363,3.372
2.445,1.44,3.45
3.007,2.002,4.012
3.134,2.13,4.139
3.492,2.485,4.499
5.395,4.698,6.092
5.764,5.067,6.462
5.591,4.895,6.288
5.34,4.644,6.037
5.746,5.051,6.441
5.529,4.835,6.222
5.877,5.183,6.572
6.495,5.801,7.19
5.428,4.711,6.146
5.721,5.01,6.432
7.155,6.452,7.858
5.833,5.126,6.539
5.935,5.229,6.642
6.189,5.481,6.897
5.303,4.672,5.933
5.736,5.103,6.369
5.561,4.929,6.194
5.324,4.689,5.959
5.671,5.045,6.298
5.421,4.797,6.044
5.719,5.092,6.345
6.324,5.695,6.952
6.056,5.426,6.687
6.044,5.41,6.678
5.307,4.657,5.957
4.353,3.703,5.003
3.877,3.237,4.517
3.702,3.062,4.341
3.757,3.116,4.399
3.759,3.115,4.403
3.671,3.024,4.318
4.417,3.766,5.067
2.364,1.715,3.014
3.128,2.505,3.752
2.965,2.342,3.587
2.725,2.107,3.344
3.164,2.547,3.782
2.948,2.33,3.566
3.316,2.699,3.933
3.952,3.335,4.569
2.643,2.01,3.276
2.597,1.968,3.226
2.88,2.25,3.51
2.622,1.992,3.251
2.678,2.045,3.311
4.076,3.457,4.695
4.175,3.555,4.796
4.105,3.473,4.738
4.21,3.579,4.842
4.451,3.818,5.083
2.141,1.492,2.79
3.926,3.288,4.564
4.229,3.582,4.875
3.499,2.862,4.135
3.954,3.321,4.587
3.735,3.106,4.365
4.068,3.435,4.701
4.657,4.022,5.291
4.755,4.116,5.394
4.756,4.123,5.388
3.707,3.078,4.335
3.334,2.702,3.965
3.856,3.232,4.48
3.655,3.031,4.279
3.754,3.13,4.379
3.813,3.19,4.436
3.934,3.311,4.557
4.229,3.604,4.854
2.544,1.923,3.165
3.407,2.774,4.041
2.739,2.12,3.358
2.509,1.891,3.127
2.957,2.34,3.575
2.762,2.145,3.379
3.607,2.979,4.236
3.715,3.095,4.335
3.424,2.802,4.045
3.893,3.256,4.529
3.657,3.032,4.283
3.165,2.525,3.804
2.607,1.972,3.242
2.43,1.794,3.066
2.86,2.225,3.494
2.427,1.794,3.059
2.521,1.89,3.152
2.777,2.146,3.407
6.364,5.42,7.309
7.212,6.264,8.16
7.08,6.134,8.027
6.839,5.893,7.785
7.273,6.328,8.218
7.065,6.12,8.01
6.244,5.487,7.002
5.507,4.777,6.237
5.28,4.55,6.009
4.635,3.916,5.353
4.456,3.741,5.171
4.607,3.897,5.317
4.624,3.914,5.333
4.462,3.752,5.172
4.566,3.855,5.277
4.641,3.929,5.352
4.95,4.218,5.681
5.195,4.465,5.926
1.923,1.116,2.73
1.83,1.021,2.638
2.172,1.363,2.981
1.655,0.849,2.462
2.026,1.23,2.821
1.873,1.078,2.668
1.971,1.176,2.766
2.524,1.726,3.323
2.141,1.347,2.935
2.885,2.087,3.682
3.045,2.351,3.739
3.378,2.687,4.07
3.187,2.496,3.877
2.94,2.248,3.631
3.362,2.673,4.05
3.108,2.421,3.794
3.405,2.718,4.091
3.98,3.293,4.667
3.714,3.026,4.403
3.971,3.266,4.675
3.173,2.466,3.88
2.821,2.116,3.526
3.308,2.598,4.018
2.61,1.902,3.317
0.628,-0.018,1.275
0.985,0.347,1.622
0.792,0.161,1.424
0.513,-0.113,1.138
0.901,0.284,1.519
0.615,0.003,1.226
0.901,0.29,1.512
1.494,0.883,2.105
1.227,0.615,1.84
1.156,0.544,1.768
1.474,0.862,2.087
1.143,0.533,1.753
1.162,0.552,1.772
0.999,0.387,1.611
1.081,0.466,1.696
1.612,0.989,2.236
1.697,1.071,2.322
1.619,0.966,2.272
2.142,1.51,2.775
2.508,1.88,3.135
2.822,2.177,3.467
2.025,1.406,2.644
2.396,1.782,3.009
2.179,1.567,2.79
2.486,1.874,3.098
3.067,2.456,3.679
2.829,2.217,3.441
2.768,2.157,3.378
3.075,2.464,3.687
2.746,2.138,3.354
2.769,2.161,3.376
2.619,2.01,3.228
2.726,2.115,3.337
2.793,2.18,3.406
2.898,2.282,3.514
3.153,2.534,3.771
3.043,2.411,3.675
3.432,2.803,4.06
3.267,2.64,3.894
3.019,2.394,3.644
3.466,2.844,4.087
3.265,2.644,3.885
3.598,2.977,4.219
4.208,3.587,4.829
4.018,3.397,4.639
2.866,2.247,3.485
3.178,2.559,3.797
2.868,2.254,3.483
2.902,2.287,3.518
2.762,2.145,3.38
2.868,2.248,3.488
2.932,2.31,3.553
3.033,2.409,3.657
3.275,2.649,3.902
0.6,-0.031,1.23
0.964,0.336,1.592
0.751,0.127,1.374
0.443,-0.175,1.061
0.82,0.204,1.436
0.572,-0.044,1.187
0.875,0.258,1.492
1.448,0.832,2.065
1.167,0.549,1.786
1.062,0.443,1.681
1.18,0.561,1.798
0.825,0.211,1.44
1.313,0.691,1.935
0.644,0.03,1.257
0.717,0.103,1.332
0.745,0.13,1.361
0.823,0.207,1.439
1.051,0.433,1.668
4.167,2.958,5.375
3.866,3.248,4.484
3.664,3.047,4.281
3.371,2.755,3.987
3.835,3.217,4.453
3.586,2.966,4.205
3.923,3.302,4.544
5.009,4.384,5.634
4.733,4.103,5.363
4.203,3.582,4.824
4.368,3.747,4.989
4.472,3.854,5.09
4.548,3.931,5.164
4.334,3.718,4.95
3.973,3.353,4.594
4.489,3.875,5.103
4.603,3.99,5.216
4.856,4.243,5.469
3.255,2.624,3.885
3.626,2.994,4.258
3.451,2.819,4.083
3.212,2.582,3.843
3.672,3.039,4.305
3.987,3.347,4.627
4.026,3.404,4.649
4.648,4.026,5.27
4.426,3.807,5.046
5.716,5.053,6.379
4.69,4.074,5.305
4.867,4.254,5.48
4.879,4.268,5.49
4.714,4.103,5.325
4.82,4.209,5.431
4.86,4.251,5.47
4.954,4.345,5.563
5.195,4.586,5.804
2.91,2.287,3.534
3.267,2.646,3.888
3.079,2.459,3.7
2.856,2.237,3.475
3.756,3.13,4.382
2.921,2.303,3.54
3.254,2.637,3.871
3.832,3.215,4.449
4.064,3.446,4.681
3.951,3.333,4.569
3.765,3.152,4.378
3.912,3.304,4.519
3.928,3.322,4.534
3.742,3.135,4.348
3.82,3.213,4.426
3.858,3.251,4.465
3.931,3.323,4.539
4.156,3.547,4.764
6.573,5.895,7.252
5.648,5.004,6.293
6.025,5.374,6.676
4.535,3.885,5.185
4.896,4.249,5.544
5.201,4.552,5.85
6.582,5.964,7.201
7.237,6.62,7.854
6.467,5.848,7.086
6.854,6.236,7.472
7.148,6.529,7.766
6.827,6.217,7.436
6.833,6.225,7.44
6.665,6.056,7.273
6.258,5.636,6.879
6.297,5.675,6.919
6.866,6.254,7.478
7.088,6.474,7.702
5.846,5.216,6.477
5.764,5.138,6.39
6.97,6.319,7.622
6.802,6.154,7.451
7.751,7.107,8.395
7.601,6.957,8.245
6.569,5.949,7.188
7.125,6.509,7.74
6.333,5.713,6.952
6.226,5.607,6.845
7.017,6.401,7.633
6.686,6.078,7.295
6.699,6.093,7.306
6.542,5.935,7.149
6.616,6.008,7.225
6.675,6.067,7.283
6.776,6.167,7.384
7.002,6.392,7.612
4.661,4.032,5.291
5.508,4.884,6.132
5.322,4.7,5.944
4.547,3.924,5.17
5.428,4.805,6.051
5.07,4.452,5.687
5.421,4.806,6.037
5.99,5.376,6.603
6.62,5.955,7.286
5.646,5.032,6.261
5.424,4.807,6.041
5.627,5.021,6.234
5.616,5.011,6.222
5.435,4.829,6.041
5.504,4.898,6.111
5.558,4.952,6.165
5.704,5.098,6.309
5.918,5.311,6.524
3.671,3.043,4.299
3.541,2.915,4.167
3.343,2.718,3.968
3.087,2.465,3.71
3.364,2.742,3.986
3.638,3.022,4.254
3.962,3.347,4.577
4.55,3.938,5.163
4.312,3.698,4.926
3.731,3.115,4.347
4.522,3.907,5.136
4.177,3.571,4.783
4.182,3.577,4.787
4.013,3.407,4.618
4.095,3.49,4.701
4.142,3.536,4.748
4.22,3.613,4.827
4.45,3.842,5.058
5.975,5.322,6.627
5.918,5.276,6.561
5.735,5.094,6.375
5.528,4.889,6.168
6.461,5.82,7.102
5.715,5.082,6.349
4.779,4.154,5.404
5.368,4.744,5.991
5.099,4.479,5.719
5.456,4.831,6.081
5.267,4.65,5.884
5.401,4.787,6.016
5.411,4.797,6.025
4.764,4.143,5.385
5.368,4.753,5.984
5.41,4.794,6.027
5.54,4.923,6.157
5.804,5.185,6.422
2.154,1.508,2.8
2.512,1.872,3.152
2.343,1.707,2.98
2.074,1.442,2.706
2.519,1.885,3.152
2.358,1.728,2.989
2.817,2.186,3.449
3.94,3.301,4.579
3.141,2.521,3.762
3.0,2.382,3.617
3.316,2.697,3.936
3.475,2.853,4.097
3.484,2.861,4.108
2.855,2.231,3.478
2.963,2.337,3.589
3.52,2.891,4.15
3.14,2.509,3.771
3.387,2.751,4.024
4.371,3.724,5.018
4.75,4.103,5.398
5.053,4.41,5.695
4.774,4.132,5.416
5.172,4.529,5.814
4.968,4.325,5.61
3.949,3.311,4.586
4.54,3.904,5.176
4.142,3.504,4.781
4.416,3.785,5.046
4.216,3.585,4.847
4.35,3.727,4.972
4.348,3.729,4.967
4.185,3.566,4.804
4.289,3.671,4.908
4.347,3.73,4.964
4.454,3.838,5.07
4.677,4.059,5.295
3.179,2.527,3.83
3.08,2.438,3.722
2.835,2.199,3.47
3.339,2.706,3.972
3.132,2.502,3.762
4.001,3.367,4.636
4.598,3.966,5.23
3.83,3.2,4.46
3.748,3.119,4.377
4.564,3.927,5.201
4.244,3.618,4.869
3.794,3.163,4.426
3.643,3.009,4.276
4.082,3.442,4.722
4.146,3.507,4.785
4.274,3.635,4.914
4.512,3.871,5.153
2.383,1.649,3.117
2.763,2.028,3.498
2.641,1.905,3.376
2.37,1.634,3.107
2.792,2.053,3.531
2.696,1.952,3.441
2.924,2.173,3.676
3.526,2.779,4.272
3.171,2.432,3.91
3.23,2.492,3.968
3.378,2.642,4.114
4.126,3.389,4.862
2.395,1.769,3.021
2.781,2.161,3.401
2.671,2.052,3.291
2.439,1.822,3.057
2.839,2.224,3.453
2.62,2.008,3.233
2.983,2.369,3.597
3.586,2.972,4.199
3.764,3.142,4.386
3.169,2.557,3.781
3.425,2.811,4.04
3.123,2.509,3.737
3.64,3.028,4.252
3.495,2.881,4.108
3.609,2.993,4.224
3.022,2.39,3.655
3.604,2.974,4.233
3.835,3.204,4.465
0.139,-0.553,0.832
0.541,-0.136,1.218
0.486,-0.163,1.136
0.382,-0.261,1.025
0.826,0.194,1.459
0.691,0.064,1.318
0.999,0.38,1.617
1.555,0.941,2.169
1.357,0.746,1.968
1.312,0.703,1.922
1.674,1.062,2.285
1.376,0.765,1.987
1.93,1.302,2.558
1.254,0.631,1.878
1.403,0.767,2.04
1.518,0.866,2.17
1.658,0.986,2.33
1.897,1.203,2.592
0.365,-0.278,1.007
0.685,0.055,1.315
0.456,-0.169,1.082
0.213,-0.409,0.835
0.691,0.071,1.311
0.475,-0.142,1.093
0.815,0.199,1.432
1.403,0.789,2.017
1.175,0.565,1.786
1.122,0.511,1.733
1.443,0.827,2.059
1.109,0.497,1.721
1.132,0.52,1.745
0.975,0.361,1.588
1.072,0.455,1.69
1.131,0.513,1.75
1.251,0.631,1.871
1.486,0.863,2.109
2.538,1.595,3.482
2.626,1.684,3.567
2.535,1.594,3.476
3.579,2.631,4.526
3.61,2.663,4.557
2.98,2.038,3.923
3.132,2.188,4.075
8.047,7.084,9.011
8.003,7.054,8.951
7.486,6.544,8.429
7.588,6.645,8.531
6.267,5.319,7.216
6.706,5.75,7.662
6.902,5.947,7.858
1.185,0.232,2.138
1.604,0.665,2.543
1.418,0.478,2.357
1.802,0.861,2.743
1.859,0.919,2.799
1.457,0.523,2.392
1.676,0.741,2.61
4.559,3.6,5.518
4.797,3.863,5.732
4.158,3.222,5.093
4.243,3.307,5.179
4.288,3.353,5.223
4.863,3.93,5.796
5.092,4.159,6.025
2.182,1.244,3.121
2.236,1.301,3.171
2.555,1.614,3.495
2.141,1.205,3.077
2.523,1.58,3.466
2.098,1.16,3.036
2.265,1.326,3.204
5.799,5.121,6.476
6.097,5.439,6.754
5.354,4.707,6.002
5.053,4.414,5.692
5.912,5.28,6.545
5.005,4.377,5.632
5.817,5.197,6.437
6.411,5.793,7.028
6.112,5.497,6.727
5.953,5.34,6.567
5.694,5.076,6.313
5.779,5.166,6.392
5.74,5.123,6.357
5.537,4.915,6.159
5.591,4.963,6.218
5.607,4.972,6.241
5.67,5.03,6.31
5.87,5.223,6.517
1.008,0.169,1.848
1.341,0.504,2.177
1.0,0.168,1.832
1.669,0.833,2.505
1.019,0.19,1.848
1.104,0.274,1.933
1.147,0.318,1.976
1.234,0.405,2.063
1.478,0.647,2.308
3.725,3.056,4.393
4.06,3.398,4.722
3.844,3.187,4.5
4.015,3.36,4.669
3.893,3.249,4.536
2.545,1.91,3.18
2.844,2.21,3.478
4.25,3.617,4.882
3.458,2.828,4.087
3.345,2.719,3.971
3.614,2.986,4.242
3.72,3.092,4.349
3.535,2.908,4.161
3.343,2.716,3.971
3.422,2.795,4.049
3.529,2.908,4.149
3.576,2.952,4.199
3.284,2.652,3.917
0.453,-0.184,1.089
0.322,-0.305,0.949
0.113,-0.511,0.737
-0.166,-0.786,0.453
0.241,-0.376,0.859
-0.003,-0.617,0.612
0.298,-0.317,0.912
1.362,0.746,1.978
1.088,0.47,1.707
0.507,-0.106,1.121
1.298,0.678,1.918
0.462,-0.156,1.08
0.956,0.345,1.567
0.292,-0.328,0.911
0.869,0.253,1.485
0.932,0.313,1.551
0.875,0.252,1.498
1.1,0.475,1.725
5.901,5.265,6.536
6.269,5.636,6.901
7.432,6.781,8.082
5.798,5.169,6.426
8.07,7.43,8.71
7.824,7.187,8.46
8.136,7.496,8.775
8.722,8.083,9.36
7.121,6.503,7.738
7.021,6.403,7.639
7.307,6.691,7.924
6.94,6.329,7.55
6.925,6.316,7.535
6.74,6.13,7.351
6.828,6.215,7.44
6.863,6.25,7.476
6.934,6.318,7.55
7.171,6.554,7.788
2.221,1.589,2.852
2.568,1.942,3.195
2.384,1.759,3.009
2.08,1.461,2.7
2.421,1.808,3.034
2.229,1.617,2.841
2.555,1.943,3.167
3.131,2.519,3.743
2.884,2.273,3.494
2.801,2.191,3.411
3.093,2.483,3.703
3.223,2.612,3.834
2.735,2.125,3.346
2.574,1.962,3.186
3.144,2.53,3.759
3.186,2.568,3.804
3.271,2.649,3.893
3.5,2.875,4.125
4.899,4.255,5.543
5.758,5.122,6.393
5.555,4.922,6.187
4.793,4.158,5.428
5.696,5.069,6.323
3.894,3.269,4.52
4.218,3.593,4.843
5.309,4.69,5.928
5.05,4.43,5.67
4.944,4.324,5.563
5.253,4.634,5.872
6.276,5.62,6.931
6.285,5.626,6.943
4.761,4.149,5.372
4.876,4.264,5.488
4.942,4.33,5.555
6.126,5.5,6.753
6.365,5.737,6.994
4.152,3.525,4.779
4.519,3.895,5.142
4.341,3.717,4.965
4.566,3.939,5.193
4.993,4.369,5.618
4.799,4.173,5.425
4.646,4.021,5.271
5.237,4.61,5.863
3.895,3.273,4.516
3.796,3.176,4.415
4.573,3.946,5.201
4.225,3.609,4.84
3.736,3.114,4.357
4.057,3.44,4.674
4.139,3.521,4.756
4.023,3.394,4.651
3.617,2.984,4.25
4.688,4.05,5.326
7.914,7.261,8.568
6.903,6.28,7.526
6.699,6.078,7.319
6.415,5.797,7.033
8.202,7.558,8.846
7.987,7.343,8.63
8.314,7.665,8.963
7.526,6.907,8.144
7.252,6.631,7.873
6.66,6.031,7.289
6.931,6.304,7.558
6.901,6.283,7.518
6.892,6.277,7.508
6.723,6.108,7.338
6.793,6.177,7.409
6.831,6.217,7.445
6.918,6.304,7.532
7.138,6.523,7.753
3.063,2.436,3.69
3.397,2.773,4.022
3.199,2.576,3.822
2.929,2.307,3.551
3.855,3.225,4.485
3.134,2.509,3.76
3.461,2.833,4.09
4.549,3.918,5.18
3.989,3.362,4.616
3.9,3.276,4.524
4.201,3.579,4.823
4.323,3.705,4.942
4.34,3.724,4.955
4.174,3.558,4.789
4.263,3.649,4.878
4.326,3.711,4.94
3.334,2.698,3.971
3.563,2.926,4.199
3.035,2.386,3.684
3.389,2.745,4.034
3.191,2.549,3.833
3.399,2.753,4.045
3.292,2.662,3.923
3.022,2.399,3.646
3.297,2.677,3.918
3.85,3.228,4.471
3.559,2.937,4.182
2.352,1.727,2.977
2.61,1.983,3.237
2.713,2.085,3.342
2.677,2.043,3.311
2.489,1.853,3.126
2.961,2.313,3.608
2.602,1.958,3.247
3.17,2.527,3.813
3.39,2.747,4.033
6.45,5.563,7.336
6.579,5.698,7.46
6.581,5.701,7.461
6.426,5.546,7.307
6.51,5.63,7.39
5.205,4.316,6.094
5.261,4.371,6.151
4.988,4.09,5.886
2.276,1.641,2.912
2.092,1.458,2.726
1.824,1.193,2.456
2.286,1.655,2.917
2.119,1.486,2.751
2.392,1.764,3.019
2.979,2.353,3.605
2.725,2.1,3.351
2.624,1.999,3.249
2.911,2.286,3.536
2.546,1.923,3.169
2.542,1.919,3.165
2.368,1.744,2.992
2.447,1.821,3.073
2.992,2.359,3.625
2.579,1.948,3.209
3.299,2.662,3.936
2.034,1.402,2.665
2.389,1.764,3.014
2.239,1.612,2.866
1.995,1.368,2.622
2.909,2.28,3.538
2.671,2.047,3.295
2.489,1.874,3.105
3.066,2.452,3.68
2.78,2.168,3.392
2.664,2.053,3.275
2.928,2.316,3.54
3.047,2.436,3.658
2.537,1.919,3.155
2.834,2.216,3.453
2.914,2.292,3.536
3.041,2.426,3.656
3.124,2.506,3.742
3.338,2.716,3.961
1.01,0.375,1.646
1.351,0.723,1.979
1.177,0.546,1.808
0.897,0.266,1.528
1.77,1.14,2.399
1.519,0.895,2.144
1.33,0.714,1.946
1.916,1.302,2.53
1.65,1.038,2.262
1.554,0.943,2.165
1.805,1.192,2.417
1.428,0.811,2.045
1.914,1.3,2.528
1.748,1.131,2.366
1.828,1.206,2.45
1.923,1.302,2.544
1.988,1.365,2.612
2.19,1.562,2.819
6.664,6.005,7.323
7.108,6.452,7.765
6.997,6.34,7.654
6.935,6.282,7.587
6.273,5.644,6.903
6.539,5.907,7.17
6.364,5.736,6.993
6.97,6.342,7.599
6.743,6.116,7.369
7.169,6.541,7.796
5.624,4.998,6.251
5.769,5.145,6.394
5.778,5.156,6.399
5.607,4.987,6.228
5.696,5.074,6.318
5.778,5.159,6.398
5.878,5.259,6.498
6.107,5.487,6.727
6.092,5.461,6.722
5.948,5.323,6.574
6.252,5.627,6.876
5.968,5.347,6.59
6.379,5.761,6.997
5.66,5.041,6.278
5.953,5.335,6.571
6.518,5.899,7.136
6.717,6.101,7.332
6.113,5.496,6.731
6.873,6.253,7.493
6.501,5.888,7.115
6.48,5.864,7.095
6.288,5.669,6.907
5.881,5.247,6.514
6.37,5.751,6.99
5.392,4.749,6.036
5.616,4.973,6.258
0.223,-0.398,0.844
0.575,-0.043,1.193
0.381,-0.237,0.999
0.116,-0.499,0.732
0.525,-0.095,1.146
0.307,-0.316,0.93
0.474,-0.143,1.09
1.092,0.475,1.708
0.848,0.233,1.463
0.751,0.138,1.365
1.526,0.904,2.147
1.167,0.558,1.776
1.169,0.561,1.777
1.001,0.392,1.609
1.082,0.474,1.69
1.118,0.509,1.726
1.203,0.595,1.811
1.443,0.835,2.052
2.541,1.891,3.19
2.273,1.626,2.921
2.707,2.062,3.352
2.506,1.863,3.15
2.871,2.227,3.515
4.006,3.349,4.663
3.228,2.585,3.872
3.086,2.445,3.727
3.304,2.659,3.949
2.953,2.309,3.597
3.016,2.376,3.656
3.328,2.682,3.974
3.477,2.833,4.121
3.092,2.45,3.733
3.169,2.526,3.812
3.444,2.798,4.089
-0.475,-1.123,0.174
-0.133,-0.782,0.517
-0.271,-0.917,0.375
-0.558,-1.204,0.087
1.005,0.39,1.62
0.787,0.174,1.4
1.089,0.476,1.701
1.681,1.068,2.294
1.457,0.843,2.071
1.343,0.729,1.957
1.634,1.019,2.248
1.269,0.654,1.883
1.273,0.66,1.887
1.104,0.489,1.719
1.216,0.598,1.833
1.762,1.142,2.382
0.729,0.095,1.364
2.088,1.466,2.71
