gpr_mean,true_y,gpr_lwr,gpr_upr,year,country
0.5823350976786444,0.0,-0.897219936450291,2.06189013180758,1983,USA
0.6025204919295079,1.0,-0.8637795869662265,2.0688205708252423,1984,USA
0.6902500512531954,1.0,-0.7657166019991885,2.146216704505579,1985,USA
0.6496266446814843,0.0,-0.7969700479423502,2.096223337305319,1986,USA
0.7166621139403662,1.0,-0.7248808601275432,2.1582050880082755,1987,USA
0.6526343062213249,1.0,-0.7842816669696091,2.0895502794122587,1988,USA
0.6989545005414481,0.0,-0.7329785135601137,2.13088751464301,1989,USA
0.6151783982663681,1.0,-0.8116322172200379,2.041989013752774,1990,USA
0.6424560339030395,1.0,-0.7809972434774378,2.0659093112835167,1991,USA
1.6494856681768506,1.0,0.21924903668188112,3.07972229967182,1992,USA
0.901455272768772,1.0,-0.529050822409116,2.33196136794666,1993,USA
1.0073160004526343,1.0,-0.4256478407474569,2.4402798416527256,1994,USA
1.0042242810792223,1.0,-0.43285606859414294,2.4413046307525876,1995,USA
1.032492268862777,1.0,-0.408518997527078,2.4735035352526316,1996,USA
1.118077531234579,1.0,-0.328022352657767,2.5641774151269248,1997,USA
1.2701663757328325,1.0,-0.1839307381701376,2.7242634896358027,1998,USA
1.451543883568478,1.0,-0.014162595386967514,2.9172503625239234,1999,USA
1.592543523092075,3.0,0.11326043685231713,3.0718266093318327,2000,USA
0.4413487369312635,1.0,-1.0397611940415024,1.9224586679040292,1983,CANADA
0.33204469554090077,0.0,-1.1404819513795603,1.8045713424613616,1984,CANADA
0.15394679368888728,0.0,-1.3124315875331547,1.620325174910929,1985,CANADA
0.06529598084163085,0.0,-1.3975270226475711,1.528118984330833,1986,CANADA
0.09441389339538403,0.0,-1.3664039651609656,1.5552317519517336,1987,CANADA
0.11075863986135409,0.0,-1.347413086670553,1.568930366393261,1988,CANADA
0.18526166442995906,0.0,-1.2708044089157693,1.6413277377756872,1989,CANADA
0.2882057220511598,0.0,-1.1666618523176615,1.743073296419981,1990,CANADA
0.3787014796043917,1.0,-1.0762463391942896,1.833649298403073,1991,CANADA
0.40919014475495247,0.0,-1.0468143018434921,1.865194591353397,1992,CANADA
0.3772942937732267,1.0,-1.0799614106779976,1.8345499982244509,1993,CANADA
0.3146165055529644,0.0,-1.143614718279402,1.7728477293853309,1994,CANADA
0.28262459964409636,0.0,-1.176444081512107,1.7416932808002998,1995,CANADA
0.3171733405269518,0.0,-1.1431577351126854,1.7775044161665887,1996,CANADA
0.40803435315154907,1.0,-1.0544280717935766,1.8704967780966748,1997,CANADA
0.5233065223324573,0.0,-0.9427939291800604,1.9894069738449751,1998,CANADA
0.6127217076527222,1.0,-0.8597802089345882,2.0852236242400326,1999,CANADA
0.6458361505025024,1.0,-0.8359870708378968,2.1276593718429018,2000,CANADA
4.652475995957833,5.0,3.1666149002794928,6.138337091636172,1983,HAITI
4.811376792091769,3.0,3.330666846010979,6.292086738172559,1984,HAITI
5.081730223679519,5.0,3.604409061181281,6.559051386177757,1985,HAITI
5.191754096942797,8.0,3.7203725289549836,6.663135664930611,1986,HAITI
5.359598459910663,5.0,3.8901680434312054,6.8290288763901215,1987,HAITI
5.429931106947514,4.0,3.9618264632963984,6.898035750598629,1988,HAITI
5.678853558227307,6.0,4.20868496301962,7.149022153434994,1989,HAITI
5.338012360950093,5.0,3.8640559041709075,6.811968817729278,1990,HAITI
6.567844975791336,8.0,5.0974089309099595,8.038281020672713,1991,HAITI
6.477923273105617,8.0,5.005857884132793,7.94998866207844,1992,HAITI
5.88429528786877,8.0,4.411080218598059,7.357510357139482,1993,HAITI
4.64041721575073,2.0,3.1677653998073962,6.113069031694065,1994,HAITI
4.119998341279343,3.0,2.6495593304353875,5.590437352123299,1995,HAITI
4.026327311074272,3.0,2.5573282616318207,5.495326360516724,1996,HAITI
4.02572955143708,5.0,2.552886184484895,5.498572918389265,1997,HAITI
4.1546199686232175,6.0,2.678538916559245,5.63070102068719,1998,HAITI
4.80072278686368,3.0,3.3201855336773978,6.281260040049963,1999,HAITI
4.761431611184731,4.0,3.2758983300615565,6.246964892307906,2000,HAITI
2.241279373503758,2.0,0.7541359318132441,3.728422815194272,1983,DOM-REP
2.009534994273574,1.0,0.5295036002146887,3.4895663883324595,1984,DOM-REP
1.8132802439024318,2.0,0.339080161588746,3.2874803262161176,1985,DOM-REP
1.7044263236723818,2.0,0.23480082716828088,3.1740518201764827,1986,DOM-REP
1.7491045421461104,0.0,0.28370036590501524,3.2145087183872056,1987,DOM-REP
2.018314931341136,1.0,0.5570796346889868,3.4795502279932853,1988,DOM-REP
2.4604020713731263,3.0,1.0027892005906571,3.9180149421555956,1989,DOM-REP
2.987598561513307,3.0,1.5325100514231789,4.4426870716034355,1990,DOM-REP
3.4324675769268884,4.0,1.9784893789322535,4.8864457749215235,1991,DOM-REP
3.709622903907637,3.0,2.255350072335208,5.163895735480066,1992,DOM-REP
3.841551173184513,6.0,2.3856924501086056,5.297409896260421,1993,DOM-REP
4.61278200347111,4.0,3.1512414904594666,6.074322516482753,1994,DOM-REP
4.605390837421909,4.0,3.1415990732085346,6.069182601635283,1995,DOM-REP
4.0215548193953286,4.0,2.55474859939916,5.488361039391497,1996,DOM-REP
4.137595804315974,6.0,2.6657568551286692,5.609434753503279,1997,DOM-REP
4.042991342120539,4.0,2.567656798052946,5.518325886188132,1998,DOM-REP
3.891819745833644,4.0,2.410920068202982,5.372719423464306,1999,DOM-REP
3.7286707114921214,4.0,2.240419169557592,5.216922253426651,2000,DOM-REP
1.9561254445749474,2.0,0.4768191782261675,3.4354317109237273,1983,JAMAICA
1.9567801147996284,2.0,0.4819931745720578,3.431567055027199,1984,JAMAICA
1.8220018737058714,1.0,0.35025907499752584,3.293744672414217,1985,JAMAICA
1.7272993737920181,3.0,0.25651243327287765,3.1980863143111584,1986,JAMAICA
1.7226297703827873,1.0,0.25584341867483373,3.1894161220907407,1987,JAMAICA
1.7832308788050764,1.0,0.3222824974341161,3.2441792601760366,1988,JAMAICA
1.9960909809022627,2.0,0.5414691683159183,3.450712793488607,1989,JAMAICA
2.2706022298842257,2.0,0.8226546723410824,3.718549787427369,1990,JAMAICA
2.6142312235518173,3.0,1.1709456916088579,4.057516755494777,1991,JAMAICA
2.817837465915742,4.0,1.3746740687495935,4.2610008630818905,1992,JAMAICA
2.810412031856941,3.0,1.362898931239072,4.25792513247481,1993,JAMAICA
2.6825040736689734,3.0,1.226789100569482,4.138219046768465,1994,JAMAICA
2.3461461818631895,2.0,0.8852760276576197,3.8070163360687594,1995,JAMAICA
2.083267297768818,2.0,0.6160491602590517,3.550485435278584,1996,JAMAICA
1.9485020406507942,2.0,0.47837060516466434,3.4186334761369244,1997,JAMAICA
1.8375715964654011,2.0,0.36644819058115297,3.3086950023496495,1998,JAMAICA
1.8040238535892161,1.0,0.33098089776747885,3.2770668094109534,1999,JAMAICA
1.8373236833646724,2.0,0.3583418008946049,3.31630556583474,2000,JAMAICA
0.5977393106091765,0.0,-0.8847984242551116,2.0802770454734647,1983,TRIN&TOB
0.5217300638196083,1.0,-0.9517897762825727,1.9952499039217892,1984,TRIN&TOB
0.5375077038282754,0.0,-0.928802950933622,2.0038183585901725,1985,TRIN&TOB
0.7022857811202625,0.0,-0.7589736961798428,2.163545258420368,1986,TRIN&TOB
1.0283829455250646,1.0,-0.4297958717844341,2.4865617628345635,1987,TRIN&TOB
1.446271476379045,1.0,-0.010109807017993466,2.9026527597760836,1988,TRIN&TOB
1.8392427089182042,3.0,0.38463517731762864,3.29385024051878,1989,TRIN&TOB
2.115693695853155,3.0,0.6635309041762656,3.5678564875300443,1990,TRIN&TOB
2.2440070119320166,2.0,0.7939771896402827,3.69403683422375,1991,TRIN&TOB
2.2299081466576824,2.0,0.7800415870903807,3.6797747062249844,1992,TRIN&TOB
2.059298708164932,3.0,0.607396081956207,3.5112013343736574,1993,TRIN&TOB
1.7849561368235782,3.0,0.32814941563331357,3.2417628580138427,1994,TRIN&TOB
1.2936414154980078,1.0,-0.16285405556531352,2.750136886561329,1995,TRIN&TOB
0.8854668024264859,0.0,-0.5729272727662112,2.343860877619183,1996,TRIN&TOB
0.6225048640302171,0.0,-0.8393573515964814,2.0843670796569156,1997,TRIN&TOB
0.5995920655273397,1.0,-0.8673320908556152,2.0665162219102946,1998,TRIN&TOB
0.6725030877095852,0.0,-0.8013094960749954,2.1463156714941656,1999,TRIN&TOB
0.8105758392156204,1.0,-0.6719900798197509,2.2931417582509916,2000,TRIN&TOB
6.4675473999397175,7.0,4.991346636496424,7.943748163383011,1983,MEXICO
6.348114460834168,7.0,4.883250257256382,7.812978664411954,1984,MEXICO
6.241767589503597,5.0,4.784483757459931,7.699051421547264,1985,MEXICO
6.30235294501391,7.0,4.847898288118537,7.756807601909283,1986,MEXICO
6.411646728153122,5.0,4.964354080832847,7.858939375473397,1987,MEXICO
6.531827942138776,7.0,5.091391938862802,7.972263945414749,1988,MEXICO
6.545397357432209,8.0,5.109945431368143,7.9808492834962745,1989,MEXICO
6.415809183043648,7.0,4.981878781265766,7.84973958482153,1990,MEXICO
6.290394397889213,5.0,4.854101881287795,7.726686914490632,1991,MEXICO
6.11526358921227,5.0,4.679942076402284,7.550585102022255,1992,MEXICO
6.1188006582735035,7.0,4.682782059274619,7.554819257272388,1993,MEXICO
6.231154489488459,6.0,4.793406146686146,7.6689028322907715,1994,MEXICO
6.269306541751188,7.0,4.827073116387851,7.7115399671145255,1995,MEXICO
6.22924843751855,6.0,4.780501991681996,7.677994883355105,1996,MEXICO
5.522624331188482,5.0,4.0688237359399855,6.976424926436979,1997,MEXICO
5.542850426447741,5.0,4.0843525627836295,7.001348290111852,1998,MEXICO
5.631862176129324,6.0,4.165919978154047,7.0978043741046015,1999,MEXICO
5.733280697530142,6.0,4.256329012156988,7.210232382903295,2000,MEXICO
7.2304364115089985,8.0,5.764554024268244,8.696318798749754,1983,GUATEMA
7.228493808959305,8.0,5.766645611336781,8.69034200658183,1984,GUATEMA
6.434972046163102,8.0,4.972170521774685,7.897773570551519,1985,GUATEMA
6.3161821141504735,4.0,4.847691203718808,7.784673024582139,1986,GUATEMA
6.187337512071427,7.0,4.722517154441738,7.652157869701116,1987,GUATEMA
6.053548935386346,6.0,4.597468523410332,7.5096293473623605,1988,GUATEMA
6.016735989167865,7.0,4.566606312224502,7.466865666111227,1989,GUATEMA
5.908320374622715,6.0,4.45443383641319,7.36220691283224,1990,GUATEMA
5.605204886307632,6.0,4.144398043632583,7.066011728982682,1991,GUATEMA
5.759493128394661,4.0,4.297457128751928,7.221529128037394,1992,GUATEMA
5.615752455616401,6.0,4.1586101022499715,7.072894808982831,1993,GUATEMA
5.430471316792455,6.0,3.9755207519209215,6.885421881663989,1994,GUATEMA
5.185676270113505,5.0,3.7224093094405633,6.648943230786447,1995,GUATEMA
4.443098055048502,4.0,2.9725705994539147,5.913625510643088,1996,GUATEMA
4.413188143531159,3.0,2.9405829517178153,5.885793335344504,1997,GUATEMA
