variable,coefficient
C(country)[T.TUNISIA],0.27450974278016727
C(country)[T.TURKEY],2.9250042815042168
C(country)[T.TURKMEN],-0.724612922200325
C(country)[T.UGANDA],-0.24523586359752458
C(country)[T.UKRAINE],-0.9058675552257279
C(country)[T.UN-AR-EM],0.6400927502275524
C(country)[T.UN-KING],-0.2540141998844342
C(country)[T.URUGUAY],0.3797672839408687
C(country)[T.USA],-1.0406901460880043
C(country)[T.UZBEK],0.007728109587418153
C(country)[T.VENEZU],3.246471813697342
C(country)[T.ZAIRE],1.2420794220938527
C(country)[T.ZAMBIA],-0.60037753322757
C(country)[T.ZIMBABWE],-0.7317038836189963
AIShame,0.49028120630169303
cat_rat,-0.15851888876328618
ccpr_rat,0.35853591196457407
democratic,-1.0849112619666195
log_gdppc,-0.6329854382848874
log_pop,0.4050722585324202
Civilwar2,1.3612975866329873
War,0.6690422527158222
